City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Cherskiy,RU,68.75,161.3,-35.21,99,100,6.53,overcast clouds
80,Visakhapatnam,IN,17.69,83.2093,69.69,94,20,2.3,mist
81,Pasighat,IN,28.0667,95.3333,57.13,86,100,4.09,overcast clouds
82,Abeche,TD,13.8292,20.8324,69.93,10,0,11.16,clear sky
83,Vestmannaeyjar,IS,63.4427,-20.2734,37.56,54,100,19.51,overcast clouds
84,Tiksi,RU,71.6872,128.8694,-10.12,92,100,16.4,overcast clouds
85,Dunda,TZ,-8.1167,34.25,64.11,96,100,2.86,light rain
86,Slave Lake,CA,55.2834,-114.769,37.38,81,100,24.16,overcast clouds
87,Constitucion,CL,-35.3333,-72.4167,66.25,63,100,7.83,overcast clouds
88,Hami,CN,42.8,93.45,25.72,61,87,4.03,overcast clouds
89,Faanui,PF,-16.4833,-151.75,81.18,75,56,15.37,broken clouds
90,Barrow,US,71.2906,-156.7887,-27.38,62,100,8.05,haze
91,Pangoa,PE,-12.1167,-73.0,82.44,50,100,3.53,light rain
92,Aklavik,CA,68.2191,-135.0107,-17.57,93,100,7.27,overcast clouds
93,Havoysund,NO,70.9963,24.6622,25.68,72,100,15.43,light snow
94,Madimba,TZ,-10.4,40.3333,79.43,84,100,8.5,overcast clouds
95,Busselton,AU,-33.65,115.3333,64.09,62,0,4.68,clear sky
96,Coxcatlan,MX,18.2667,-97.15,76.48,39,100,4.34,overcast clouds
97,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,3.44,clear sky
98,Cabra,ES,37.4725,-4.4421,56.39,52,100,2.26,overcast clouds
99,Arlit,NE,18.7369,7.3853,67.5,16,0,8.59,clear sky
100,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,2.3,scattered clouds
101,Egvekinot,RU,66.3167,-179.1667,-25.89,88,28,4.68,scattered clouds
102,Bredasdorp,ZA,-34.5322,20.0403,60.12,77,0,2.3,clear sky
103,Truro,GB,50.2653,-5.0544,45.68,65,75,18.41,broken clouds
104,Khatanga,RU,71.9667,102.5,-5.48,97,95,13.44,overcast clouds
105,San Luis,AR,-33.295,-66.3356,93.36,16,86,1.23,overcast clouds
106,Butaritari,KI,3.0707,172.7902,81.18,79,24,17.31,light rain
107,Chilca,PE,-12.5211,-76.7372,79.61,75,82,6.53,broken clouds
108,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,light rain
109,Pangody,RU,65.85,74.4859,2.23,81,9,17.83,clear sky
110,Broken Hill,AU,-31.95,141.4333,61.63,51,0,18.1,clear sky
111,Ostrovnoy,RU,68.0531,39.5131,28.69,86,100,18.45,overcast clouds
112,Vardo,NO,70.3705,31.1107,26.58,80,75,12.66,broken clouds
113,Samur,RU,41.8253,48.486,39.33,91,100,5.28,overcast clouds
114,Adrar,MR,20.5022,-10.0711,69.08,15,93,11.54,overcast clouds
115,Soe,ID,-9.8607,124.284,65.48,93,100,2.37,overcast clouds
116,Amahai,ID,-3.3333,128.9167,77.7,86,99,3.56,overcast clouds
117,Kokopo,PG,-4.352,152.2633,77.94,83,97,3.94,overcast clouds
118,Hualmay,PE,-11.0964,-77.6139,74.39,69,100,8.61,overcast clouds
119,Atuona,PF,-9.8,-139.0333,78.35,75,0,16.37,clear sky
120,Ponta Do Sol,PT,32.6667,-17.1,69.71,62,100,7.85,overcast clouds
121,Miquelon,PM,47.0975,-56.3814,32.0,84,15,14.36,few clouds
122,Moron,AR,-34.6534,-58.6198,91.02,47,0,7.0,clear sky
123,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,96,7.0,overcast clouds
124,Qaanaaq,GL,77.484,-69.3632,-20.85,57,8,7.38,clear sky
125,New Norfolk,AU,-42.7826,147.0587,56.7,56,34,2.37,scattered clouds
126,Buchanan,LR,5.8808,-10.0467,80.56,85,57,7.36,broken clouds
127,Alice Springs,AU,-23.7,133.8833,62.15,77,0,5.75,clear sky
128,Tabuk,PH,17.4189,121.4443,68.31,96,44,1.07,scattered clouds
129,Nador,MA,35.174,-2.9287,57.45,77,40,3.44,scattered clouds
130,San Quintin,MX,30.4833,-115.95,72.39,27,0,8.32,clear sky
131,Ostersund,SE,63.1792,14.6357,27.05,80,75,11.5,broken clouds
132,Yachimata,JP,35.65,140.3167,37.49,93,75,17.27,light snow
133,Puerto Escondido,MX,15.85,-97.0667,85.03,61,0,8.05,clear sky
134,Fairbanks,US,64.8378,-147.7164,-7.19,77,75,4.61,light snow
135,Ippy,CF,6.2679,21.2247,82.26,16,10,2.42,clear sky
136,Quatre Cocos,MU,-20.2078,57.7625,77.11,82,16,6.67,few clouds
137,Vao,NC,-22.6667,167.4833,81.23,87,100,40.26,moderate rain
138,Jaru,BR,-10.4389,-62.4664,83.86,80,75,2.66,moderate rain
139,Bilibino,RU,68.0546,166.4372,-42.7,100,72,1.72,broken clouds
140,Sinnamary,GF,5.3833,-52.95,78.85,83,51,11.81,broken clouds
141,Banes,CU,20.9625,-75.7186,88.41,64,68,8.63,broken clouds
142,Buala,SB,-8.145,159.5921,78.37,83,100,6.06,light rain
143,Safranbolu,TR,41.2508,32.6942,25.81,91,18,1.25,few clouds
144,Norman Wells,CA,65.282,-126.8329,-11.16,70,100,11.5,light snow
145,Turukhansk,RU,65.8167,87.9833,-24.63,99,14,4.79,few clouds
146,Nazilli,TR,37.9163,28.3223,42.1,69,0,4.68,clear sky
147,Kaitangata,NZ,-46.2817,169.8464,58.53,92,89,3.38,overcast clouds
148,Baghdad,IQ,33.3406,44.4009,48.11,71,0,3.44,clear sky
149,Hit,IQ,33.6416,42.8251,57.76,36,75,5.06,broken clouds
150,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.78,76,98,2.28,overcast clouds
151,Belaya Gora,RU,68.5333,146.4167,-41.78,99,38,4.12,scattered clouds
152,Georgetown,MY,5.4112,100.3354,78.89,90,20,1.14,few clouds
153,Acapulco,MX,16.8634,-99.8901,85.82,58,75,6.91,broken clouds
154,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,20,4.61,few clouds
155,Nikolskoye,RU,59.7035,30.7861,36.88,90,100,10.27,overcast clouds
156,Clyde River,CA,70.4692,-68.5914,-18.17,69,75,5.75,broken clouds
157,Bac Lieu,VN,9.285,105.7244,78.03,82,100,13.22,overcast clouds
158,Klaksvik,FO,62.2266,-6.589,27.52,58,85,12.75,overcast clouds
159,Belmonte,BR,-15.8631,-38.8828,84.7,72,9,9.55,clear sky
160,Visnes,NO,59.3556,5.2242,37.81,87,100,16.11,snow
161,Shache,CN,38.4167,77.2406,35.87,34,10,7.09,clear sky
162,Padang,ID,-0.9492,100.3543,77.23,78,100,2.8,overcast clouds
163,Dakar,SN,14.6937,-17.4441,90.48,47,12,9.22,few clouds
164,Inirida,CO,3.8653,-67.9239,91.06,45,99,0.6,overcast clouds
165,Rio Grande,BR,-32.035,-52.0986,82.51,67,57,17.87,broken clouds
166,Kodiak,US,57.79,-152.4072,27.91,80,100,0.0,overcast clouds
167,Luderitz,NA,-26.6481,15.1594,73.53,52,3,18.77,clear sky
168,Hastings,GB,50.8552,0.5729,42.3,69,49,15.99,scattered clouds
169,Kangaatsiaq,GL,68.3065,-53.4641,-11.79,93,100,7.65,overcast clouds
170,Sarkand,KZ,45.41,79.9186,15.17,77,93,6.85,overcast clouds
171,Maribondo,BR,-9.5772,-36.3053,83.75,51,29,15.28,scattered clouds
172,Hailey,US,43.5196,-114.3153,45.9,70,53,1.01,broken clouds
173,Nosy Varika,MG,-20.5833,48.5333,76.03,89,8,4.0,light rain
174,Ust-Kuyga,RU,70.0167,135.6,-22.2,98,100,8.79,overcast clouds
175,Bonnyville,CA,54.2668,-110.735,38.03,94,99,21.43,overcast clouds
176,Hamilton,US,39.1834,-84.5333,46.99,56,20,11.5,few clouds
177,Tuatapere,NZ,-46.1333,167.6833,58.82,90,93,2.66,overcast clouds
178,Kloulklubed,PW,7.0419,134.2556,82.44,74,100,12.55,overcast clouds
179,Logan,US,41.7355,-111.8344,47.88,67,62,1.99,broken clouds
180,Kambove,CD,-10.8764,26.5969,62.98,93,100,2.93,light rain
181,Hudson Bay,CA,52.85,-102.3842,28.71,84,100,11.45,overcast clouds
182,Saint-Felicien,CA,48.6501,-72.4491,38.08,75,100,14.97,overcast clouds
183,Severo-Kurilsk,RU,50.6789,156.125,23.94,75,90,7.81,overcast clouds
184,Lebu,CL,-37.6167,-73.65,61.21,64,90,26.11,overcast clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,84.22,86,0,21.99,clear sky
186,Pitanga,BR,-24.7572,-51.7614,79.74,48,51,2.89,broken clouds
187,Jacareacanga,BR,-6.2222,-57.7528,88.45,53,41,3.85,scattered clouds
188,Tokur,RU,53.1333,132.9,-6.11,99,100,2.13,overcast clouds
189,Maltahohe,NA,-24.8333,16.9833,75.09,53,51,8.52,light rain
190,Lufilufi,WS,-13.8745,-171.5986,87.58,80,70,12.01,broken clouds
191,Taltal,CL,-25.4,-70.4833,68.14,72,25,4.14,scattered clouds
192,Mandiana,GN,10.6333,-8.6833,81.12,13,0,5.97,clear sky
193,Champerico,GT,14.3,-91.9167,91.94,58,2,10.2,clear sky
194,Avera,US,33.194,-82.5271,69.39,29,10,8.55,clear sky
195,Sabang,ID,5.8933,95.3214,81.57,74,98,9.53,overcast clouds
196,Shubarkuduk,KZ,49.1447,56.4872,23.36,96,100,17.16,snow
197,Uyuni,BO,-20.4597,-66.825,63.55,17,4,16.24,clear sky
198,Lompoc,US,34.6391,-120.4579,87.69,20,0,6.91,clear sky
199,Hofn,IS,64.2539,-15.2082,25.29,59,31,6.64,scattered clouds
200,Saint-Augustin,CA,51.226,-58.6502,25.38,94,100,2.75,overcast clouds
201,Matara,LK,5.9485,80.5353,75.02,89,13,4.34,moderate rain
202,Narsaq,GL,60.9167,-46.05,12.42,62,69,8.46,broken clouds
203,Usinsk,RU,65.9939,57.5281,24.28,94,100,23.53,light snow
204,Matagami,CA,49.7502,-77.6328,6.91,72,100,10.36,overcast clouds
205,Ribeira Grande,PT,38.5167,-28.7,59.4,82,20,12.66,few clouds
206,Shebekino,RU,50.4097,36.9136,37.87,92,99,10.63,overcast clouds
207,Torbay,CA,47.6666,-52.7314,39.76,81,20,8.05,few clouds
208,Shimoda,JP,34.6667,138.95,37.11,85,99,16.71,overcast clouds
209,Sheregesh,RU,52.9209,87.9869,-13.72,96,7,4.05,clear sky
210,Nadym,RU,65.5333,72.5167,4.06,85,7,19.15,clear sky
211,Boa Vista,BR,2.8197,-60.6733,93.18,38,40,12.66,scattered clouds
212,Pouebo,NC,-20.4,164.5667,78.91,88,100,15.77,overcast clouds
213,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,76.55,54,9,14.99,clear sky
214,Lerwick,GB,60.1545,-1.1494,33.8,57,97,20.24,overcast clouds
215,Meadville,US,41.6414,-80.1515,38.05,72,98,7.0,overcast clouds
216,Belomorsk,RU,64.5232,34.7668,21.38,92,94,7.99,overcast clouds
217,Alofi,NU,-19.0595,-169.9187,84.09,74,75,6.91,broken clouds
218,Chicama,PE,-7.8447,-79.1469,73.94,55,79,10.45,broken clouds
219,Natal,BR,-5.795,-35.2094,86.65,70,20,11.5,few clouds
220,Alyangula,AU,-13.8483,136.4192,81.64,72,62,6.06,broken clouds
221,Cody,US,44.5263,-109.0565,55.6,32,0,32.99,clear sky
222,Santa Lucia,ES,27.9117,-15.5407,65.77,68,0,3.44,clear sky
223,Mikhaylovskoye,RU,51.8239,79.7172,-17.01,100,69,3.91,broken clouds
224,Mahebourg,MU,-20.4081,57.7,77.29,88,40,2.3,scattered clouds
225,Jian,CN,27.1172,114.9793,42.73,94,100,5.48,overcast clouds
226,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,100,4.61,overcast clouds
227,Isangel,VU,-19.55,169.2667,79.9,90,100,22.93,light rain
